measure,hybrid,hybrid1,ggmr,ggmr2,ggmr1,rc3,rc2,rc1,measure,hybrid,hybrid1,ggmr,ggmr2,ggmr1,rc3,rc2,rc1
55899.11136,56808.59693,54235.14264,54200.42391,55043.31788,56900.45509,53800,51560,17994,79420.79741,82105.80919,80490.73055,78958.24999,77825.8941,84818.9645,82680,67680,31814
-41072.25752,-38677.47339,-39291.66669,-39196.31545,-35603.2195,-40481.6326,-47050,-44460,-28151,41072.25752,38677.47339,39291.66669,39196.31545,35603.2195,40481.6326,47050,44460,29077
55120.90632,57896.17898,55054.17918,50144.19483,41514.08267,43516.40224,55820,51981,8130,81509.66356,83773.09658,83972.12516,75732.40151,69572.83658,71104.28008,83540,68679,37730
-41278.51111,-38272.14116,-38901.75249,-38025.01521,-36881.72241,-38626.66642,-48010,-44190,-18295.4,41278.51111,38272.14116,38901.75249,38025.01521,36881.72241,38626.66642,48010,44190,25337.4
73462.84795,74012.47122,73738.09493,69159.36246,71086.42959,60167.26668,70570,60890,-1196.8,89667.65131,90694.54928,91354.71909,87083.55607,89991.52469,78768.11756,88770,78230,35876.8
-35820.83632,-38782.78911,-39132.15714,-37398.97886,-37725.38631,-38206.88722,-48030,-38440,-670,35820.83632,38782.78911,39132.15714,37398.97886,37725.38631,38206.88722,48030,40560,28110
71068.2584,71821.51967,74240.17524,68585.54449,77079.30992,64859.77495,69760,65748,17460,94227.17218,94570.75821,93520.37545,89928.90731,90056.85021,78163.66648,86160,71672,37620
-2415.068634,-654.744819,171.427283,2284.152785,-517.040033,-6838.880462,-9210,-14610,-19354.7,60125.11578,61323.2302,64262.04648,60490.2036,61855.55343,55157.50487,68790,55490,26494.7
77473.82203,70614.37246,72638.50537,85825.82421,87221.88107,107911.8986,80500,81140,38182.3,77473.82203,70614.37246,72638.50537,86849.96856,87221.88107,107911.8986,80500,81140,38297.7
64661.23198,39431.80457,40635.24781,59289.45683,62357.84068,103333.087,58720,57860,29900,64661.23198,44182.12651,40635.24781,61382.27855,62357.84068,103333.087,58720,57860,29900
-15316.88897,-17955.97284,-16376.80395,-21973.68839,-11112.41772,-14636.28609,-20417,-19873,-19365.3,61675.67469,62754.0216,64475.18701,51719.67789,50112.50507,49800.49769,63577,47193,30445.3
49045.93356,49039.72097,47031.02902,57990.74785,43801.30141,64414.30917,46350,51845,24180,71730.90291,72032.64956,70216.98222,79777.30483,66841.58831,87374.5854,71470,65595,27400
21498.64552,25714.05759,27342.6721,22914.49325,22807.76845,29516.25827,22580,16060,-25082.4,75472.72337,71803.56167,73721.32652,67104.82585,68125.95877,74165.42734,74800,63720,30036.4
9262.39528,9825.013273,4839.495594,19467.99253,6812.312446,12587.51957,5384,13650,20007.1,58751.55463,58717.69117,53694.13481,65343.8801,52662.24937,61100.52493,59904,54030,28666.9
50757.39952,54442.48193,54844.53596,58520.44412,45352.74469,56071.36414,52410,44040,-15240.4,82163.53133,83898.74596,87079.71885,87131.93487,71456.88725,84040.09071,82290,72080,35500.4
-27436.11589,-27134.79327,-29203.42066,-21350.83395,-25684.76795,-24397.86195,-32340,-23058,-3332,51700.89998,50017.28538,47900.48015,49530.41092,45385.58648,44652.87524,53220,45582,32668
72754.85691,75722.94888,76486.42137,87078.86156,64526.27549,77349.40181,73120,67278,7568.6,86086.73792,88867.92108,90762.37011,100620.5499,78117.83006,92384.24127,81940,70282,33051.4
-13742.92539,-15717.45184,-9957.899413,-16519.54719,-17396.67059,-14919.78144,-15540,-18110,-24070,67737.48233,65480.78612,65368.82643,59752.06613,52950.252,54850.69955,66760,52210,33030
36759.94841,37122.0593,34448.22225,51285.58018,32138.47503,35935.35544,32155,39340,23623,70383.67201,71187.02354,67919.10982,81859.23104,61771.14341,64231.61427,71055,65380,28029
27136.24365,31241.86765,33784.09346,34166.36683,26003.53592,30223.67735,27210,19440,-24612,75285.48606,76253.73226,77687.54316,76897.81652,69251.83734,71522.34615,77750,67600,33568
-8482.727449,-9721.045937,-11092.73814,-5284.934146,-12345.16101,-11638.94967,-13897,-5290,8546,50994.37173,50770.52453,50451.91618,54646.28356,47986.11695,46705.61986,51737,45590,27874
61823.41662,66880.10625,66935.05647,65032.19483,71650.45809,59584.1392,61000,52760,-6486,82709.15253,85037.90934,84471.402,84468.92301,91086.36484,79689.00835,80340,71360,34734
-38487.50508,-40162.45208,-40565.73908,-39932.11463,-39124.29862,-40597.43034,-43180,-34538,-9614,38487.50508,40162.45208,40565.73908,39932.11463,39124.29862,40597.43034,43180,35542,28782
60887.23011,57028.7078,63618.31607,57492.92774,55229.71195,54630.6159,58810,56261,12174.2,84607.85579,83696.45807,84030.58468,85495.0793,77607.24596,79436.2317,78630,65161,32405.8
10153.23525,10719.23763,13526.98078,9756.868705,9047.667765,10386.07603,8570,2180,-24139.2,62799.09849,62950.97392,65627.20982,63115.10455,60417.24076,64848.50213,65070,53920,25043.2
14246.12565,11403.55664,12059.83503,18226.1324,10815.31742,13212.49353,8200,16209,20464,55809.88109,57457.35412,58379.90377,65036.2307,56334.41332,62050.06624,56980,50709,29156
48068.78888,48445.6162,51123.78921,49090.68927,45617.81508,45104.98115,47840,39673,-13778.9,77526.48252,79193.46587,80817.93559,81103.74284,75449.95881,75763.59077,77120,67327,29956.9
-16010.2521,-17748.27261,-19429.21909,-15513.14871,-14006.65287,-19372.47577,-22620.2,-13810,6945,43984.67524,45228.89669,44067.00752,45873.69762,44521.83755,43217.93449,46660.2,41490,29553
58687.19182,59602.91561,59969.95794,57433.79102,49807.15489,54352.09448,57217,53586,6958,81342.90535,84603.72302,83235.67858,82886.43742,73090.85579,78838.86836,75397,63426,32518
-26540.88754,-25020.19421,-26046.8799,-28557.83924,-24897.00164,-25647.4354,-29167,-28285,-22098,45367.01313,47175.39087,45206.36647,45108.01934,48033.57864,49914.08173,46407,39225,30118
74328.82047,77203.09739,74647.69908,73941.91318,62157.559,72524.01599,70120,69352,23520.7,84158.77882,89901.82545,87323.3073,87598.04119,76339.1878,86722.93272,82900,73668,33279.3
19863.24471,23734.15358,20866.37842,16764.45153,16687.72206,19304.31585,17060,12030,-14861.7,65949.95122,69439.27922,67273.00563,64725.96531,66114.40712,67809.28487,66900,55730,22861.7
23574.34654,21260.9038,20252.14555,24514.71462,21401.39032,21674.54016,18040,25250,24031,57765.63322,59876.43223,59929.93934,63413.95566,63173.55336,62977.92884,57180,51710,30533
51245.97185,58263.97106,54235.11321,68426.83695,64158.3755,57621.57332,51460,44630,-6056.6,74586.27176,84036.47727,76818.68915,96806.40426,86211.06691,81929.02629,71280,63150,25028.6
-19867.63308,-21085.84792,-22602.3515,-19116.89089,-18658.84081,-18491.55551,-22350,-14778,-2958.3,39703.08475,42110.67111,42239.5483,49237.25047,46249.54943,47524.51812,38350,31960,26088.3
65040.09495,81530.90228,69139.47866,84523.52772,81522.71234,63527.3977,64730,60920,10016,73816.84348,91862.858,79685.01051,95391.53583,93813.54365,75408.49828,73530,63120,29256
30744.95008,30746.66858,31174.2233,22653.08283,19526.36354,14220.39542,30670,22640,-15917.6,78938.07624,83874.40688,82838.48302,79160.98857,75159.92255,72355.59916,78910,63620,22877.6
67197.7123,58800.51785,59310.30699,52805.45085,47267.80145,51155.28221,57470,67210,57183,105282.9497,105244.0951,105351.9741,101459.3812,95238.85413,95446.94965,103510,94370,57183
40390.59673,43266.74593,49013.27223,32621.37579,22487.33163,24412.77667,44590,33190,-28399,88495.9554,90084.56015,97218.21493,85274.82009,76748.92324,79568.19324,91950,77090,34321
59585.34575,55730.52392,53757.57393,47156.54085,47748.84226,45195.00342,53970,64710,53015,102983.4416,105409.5445,104100.3641,97897.56025,97378.12324,95310.31575,102130,93470,54205
7861.041093,17411.85158,16332.76081,8857.649118,-4012.534414,4895.02472,14948.6,8152,-35666,67235.74487,74110.85493,72079.99078,69612.68805,60149.71194,73451.51428,66051.4,55592,35666
36038.79224,38606.656,38866.77577,56528.78226,55876.42301,57731.10382,38105,45458,24457,77582.0686,79852.30995,81494.2097,99855.18249,100957.3379,102332.271,76115,69222,29085
41010.82028,50132.27705,48847.2141,57992.59708,41707.07128,44105.4009,49773,39797,-27393,86948.32206,93008.38217,93282.61114,103821.1258,90983.92405,96504.32887,87887,74823,34167
1120.49823,1060.304504,951.063664,2107.265565,1610.120975,3439.175441,1133,12001,17190.5,65948.48842,65273.54151,66998.38137,71379.10158,70905.8855,72615.9444,62107,55599,35609.5
81241.97274,86506.06378,88075.63157,92190.99407,81782.66683,88926.37857,88043,76236,-12372,108777.5584,112288.0405,110221.0293,120302.3922,108345.427,117757.5421,107523,94756,37488
-15678.19844,-16444.78244,-16473.93646,-15279.89655,-16838.7833,-13867.96909,-16234,-4341,12512,58941.71752,57287.11955,59094.58498,61729.21267,59172.98251,64218.02661,54194,47801,38212
101078.8872,106013.4287,105793.5087,107890.058,107272.1429,105648.3364,105073,94398,3690,112912.8698,119087.0603,119053.3391,121416.3404,127372.3414,125331.471,112347,100942,40790
-45968.2204,-43827.01346,-45523.03948,-45578.44799,-47696.26827,-50556.73474,-42510,-31360,-9286,45968.2204,43827.01346,45523.03948,45578.44799,47696.26827,50556.73474,42510,33820,33498
95550.99842,98665.72107,100505.3189,104729.53,103990.778,104620.7774,101460,93660,4178,110214.0196,114863.2164,111967.5579,123768.6968,119225.1482,120836.0056,109700,98480,41462
-45233.89911,-43236.64255,-44631.74432,-44291.87763,-44809.91414,-48648.84471,-42260,-34255,-13466,45233.89911,43236.64255,44631.74432,44291.87763,44809.91414,48648.84471,42260,34255,31626
93993.12554,99814.63716,99338.39728,105858.0331,99101.25601,103290.0264,100379.9,91639.76,2088,107725.8114,114578.1961,114251.5004,120784.6743,121922.0414,124448.1333,107560.1,97619.76,41476
